date,strategy,training_start,training_end,training_observations,condition_number,minimum_eigenvalue,shrinkage,effective_n_assets,largest_weight
2020-07-01,inverse_volatility,2019-07-02,2020-06-30,252,,,,7.157786118199565,0.2521206135437529
2020-10-01,sample_min_variance,2019-10-02,2020-09-30,252,180.31121992696754,1.0295495030455777e-05,,4.018884487380685,0.4
2020-10-01,ledoit_wolf_min_variance,2019-10-02,2020-09-30,252,55.08809742768008,3.135867835379471e-05,0.07757391330126881,4.149112917554533,0.39999999999999997
2020-10-01,inverse_volatility,2019-10-02,2020-09-30,252,,,,7.089785734790656,0.2567295696906775
2020-10-01,quarterly_equal_weight,2019-10-02,2020-09-30,252,,,,9.0,0.1111111111111111
2021-01-04,quarterly_equal_weight,2020-01-03,2020-12-31,252,,,,9.0,0.1111111111111111
2021-01-04,ledoit_wolf_min_variance,2020-01-03,2020-12-31,252,58.05764451477988,3.1097289711532614e-05,0.07211948149888793,4.143807025856424,0.4
2021-01-04,sample_min_variance,2020-01-03,2020-12-31,252,180.27422011566898,1.0709108027021546e-05,,4.025667302417117,0.39999999999999997
2021-01-04,inverse_volatility,2020-01-03,2020-12-31,252,,,,6.984866456641408,0.26349531213105337
2021-04-01,inverse_volatility,2020-04-01,2021-03-31,252,,,,6.090951705750139,0.30928754669168834
2021-04-01,sample_min_variance,2020-04-01,2021-03-31,252,168.01415791907593,4.420939891127595e-06,,3.6135130483299087,0.4
2021-04-01,quarterly_equal_weight,2020-04-01,2021-03-31,252,,,,9.0,0.1111111111111111
2021-04-01,ledoit_wolf_min_variance,2020-04-01,2021-03-31,252,72.56546772035246,9.85099485942217e-06,0.041388736790157594,3.7829917084101523,0.4
2021-07-01,inverse_volatility,2020-07-01,2021-06-30,252,,,,6.265832044456903,0.2902137414647688
2021-07-01,sample_min_variance,2020-07-01,2021-06-30,252,145.2228940916894,2.4883130266596133e-06,,3.0177579304356112,0.4
2021-07-01,quarterly_equal_weight,2020-07-01,2021-06-30,252,,,,9.0,0.1111111111111111
2021-07-01,ledoit_wolf_min_variance,2020-07-01,2021-06-30,252,62.57001468541032,5.581052730695592e-06,0.03866892093979745,3.0204551933616504,0.4
2021-10-01,ledoit_wolf_min_variance,2020-10-01,2021-09-30,252,56.36130531826365,5.349609298252032e-06,0.04476393660432428,3.016237110561498,0.4
2021-10-01,quarterly_equal_weight,2020-10-01,2021-09-30,252,,,,9.0,0.1111111111111111
2021-10-01,inverse_volatility,2020-10-01,2021-09-30,252,,,,6.494643297405865,0.27744572165823306
2021-10-01,sample_min_variance,2020-10-01,2021-09-30,252,155.71030766708597,2.011987349837559e-06,,3.017409197530943,0.3999999999999999
2022-01-03,inverse_volatility,2021-01-04,2021-12-31,252,,,,6.925374338348113,0.2542591654122358
2022-01-03,sample_min_variance,2021-01-04,2021-12-31,252,161.6778875330692,1.8825223255611487e-06,,2.9617308289382867,0.4000000000000001
2022-01-03,quarterly_equal_weight,2021-01-04,2021-12-31,252,,,,9.0,0.1111111111111111
2022-01-03,ledoit_wolf_min_variance,2021-01-04,2021-12-31,252,54.295046438303984,5.380241182622218e-06,0.048258164337031666,2.9714439593578748,0.3999999999999999
2022-04-01,sample_min_variance,2021-04-05,2022-03-31,252,127.12156288738196,2.4967132490760316e-06,,2.9379082752641734,0.3999999999999999
2022-04-01,ledoit_wolf_min_variance,2021-04-05,2022-03-31,252,31.73953283447139,9.409712307761842e-06,0.07776326327440808,3.362055899229437,0.4
2022-04-01,quarterly_equal_weight,2021-04-05,2022-03-31,252,,,,9.0,0.1111111111111111
2022-04-01,inverse_volatility,2021-04-05,2022-03-31,252,,,,7.331517562165121,0.22657566375366772
2022-07-01,inverse_volatility,2021-07-01,2022-06-30,252,,,,7.490627380185462,0.22139109294563308
