lookback,cost_bps,strategy,start,end,observations,cagr,annual_volatility,sharpe,max_drawdown,historical_var_95,historical_cvar_95,final_wealth,total_turnover,annualized_turnover,total_cost_fraction,rebalance_count
504,0.0,buy_and_hold_equal_weight,2013-01-02,2025-12-31,3270,0.06132990734747468,0.10145399041194582,0.6376413972396814,-0.22954638961507368,0.009477454198785202,0.015047747655138296,2.164909498771044,1.0,0.07706422018348624,0.0,1
504,0.0,quarterly_equal_weight,2013-01-02,2025-12-31,3270,0.0546795428901059,0.09145855354486868,0.6279947545381142,-0.20530231412241018,0.008541694745549186,0.013478546760615714,1.9953372081965353,3.106236077787449,0.23937966104050065,0.0,52
504,0.0,inverse_volatility,2013-01-02,2025-12-31,3270,0.04770183517640181,0.07511227224955355,0.6580426203247716,-0.1918594484326347,0.007027256160816459,0.011100641233815232,1.8306626041854914,3.4381191053828095,0.26495596775427155,0.0,52
504,0.0,sample_min_variance,2013-01-02,2025-12-31,3270,0.03878070628731711,0.06268539395255578,0.6383565870968513,-0.16983939807918846,0.0057929792698321134,0.009181310746968119,1.6383887056952964,5.653635205791458,0.43569298833622244,0.0,52
504,0.0,ledoit_wolf_min_variance,2013-01-02,2025-12-31,3270,0.038882915200735946,0.0626447706912812,0.6403003272990346,-0.1696671334605354,0.005804869348890172,0.009171023362570507,1.6404817814721824,5.555873085854646,0.4281590267998076,0.0,52
504,0.0,spy,2013-01-02,2025-12-31,3270,0.14803537546732448,0.16936757963544927,0.900215416628151,-0.3371725779466054,0.015999060408584242,0.025761626354362712,5.997786621248677,1.0,0.07706422018348624,0.0,1
504,10.0,buy_and_hold_equal_weight,2013-01-02,2025-12-31,3270,0.06124807901787821,0.10144842397342196,0.6369106466610893,-0.22954638961507412,0.009477454198785202,0.015047747655138296,2.1627445892722554,1.0,0.07706422018348624,0.001,1
504,10.0,quarterly_equal_weight,2013-01-02,2025-12-31,3270,0.05442705901558331,0.09145369196156106,0.6254048855501043,-0.2053023141224103,0.008541694745549186,0.013479755918274189,1.9891477281260006,3.106236077787449,0.23937966104050065,0.0031062360777874493,52
504,10.0,inverse_volatility,2013-01-02,2025-12-31,3270,0.04742422884753017,0.0751083430805597,0.6545443016788304,-0.1921279586982252,0.007027256160816459,0.011102472793507638,1.824378285079697,3.4381191053828095,0.26495596775427155,0.00343811910538281,52
504,10.0,sample_min_variance,2013-01-02,2025-12-31,3270,0.038328116233980136,0.06268095311361052,0.6314438964286675,-0.17056934011686853,0.0057929792698321134,0.009181958426057242,1.629149969786222,5.653635205791458,0.43569298833622244,0.005653635205791457,52
504,10.0,ledoit_wolf_min_variance,2013-01-02,2025-12-31,3270,0.03843810911893075,0.06263931588606937,0.6335129144530596,-0.17038011861823443,0.005804869348890172,0.009171656394537896,1.6313908248261715,5.555873085854646,0.4281590267998076,0.0055558730858546465,52
504,10.0,spy,2013-01-02,2025-12-31,3270,0.14794686216298714,0.16935613634181956,0.8998095383771667,-0.33717257794660527,0.015999060408584242,0.025761626354362712,5.991788834627417,1.0,0.07706422018348624,0.001,1
504,25.0,buy_and_hold_equal_weight,2013-01-02,2025-12-31,3270,0.06112519466636335,0.10144152113613239,0.6358053020505886,-0.22954638961507334,0.009477454198785202,0.015047747655138296,2.159497225024108,1.0,0.07706422018348624,0.0025,1
504,25.0,quarterly_equal_weight,2013-01-02,2025-12-31,3270,0.054048276614627744,0.09144817795723495,0.6215074792057006,-0.2053023141224103,0.008541694745549186,0.013481569654761903,1.9798953470954728,3.106236077787449,0.23937966104050065,0.007765590194468621,52
504,25.0,inverse_volatility,2013-01-02,2025-12-31,3270,0.0470077761514911,0.07510475759872384,0.649276181888111,-0.1925306098471079,0.007027256160816459,0.011105220133046247,1.8149881583727567,3.4381191053828095,0.26495596775427155,0.008595297763457025,52
504,25.0,sample_min_variance,2013-01-02,2025-12-31,3270,0.03764922874816912,0.06267999333289273,0.6210165298121144,-0.17166394506955673,0.0057929792698321134,0.009182929944690924,1.6153819378874223,5.653635205791458,0.43569298833622244,0.014134088014478643,52
504,25.0,ledoit_wolf_min_variance,2013-01-02,2025-12-31,3270,0.03777090359864643,0.06263655267428782,0.6232756510887852,-0.1714492108399024,0.005804869348890172,0.009172605942488983,1.6178416124969515,5.555873085854646,0.4281590267998076,0.013889682714636614,52
504,25.0,spy,2013-01-02,2025-12-31,3270,0.14781393876032567,0.16933986754083238,0.8991958596148388,-0.3371725779466056,0.015999060408584242,0.025761626354362712,5.982792154695544,1.0,0.07706422018348624,0.0025,1
